k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,3,350,150,80000,0.12,1340.73,1221,5.01732,1319.49,0.000289687,80000,156.229,839,40,0.931175,43.2526,24.8847,903.885
2000,3,350,150,80000,0.1,1340.73,1221,5.01732,1319.49,0.000289687,80000,156.229,839,42,0.931175,44.5756,25.6458,906.646
2000,3,350,120,60000,0.15,1340.73,1221,5.01732,1143.44,0.00115875,60000,153.878,839,41,0.901349,33.241,19.1247,899.125
2000,3,350,120,60000,0.12,1340.73,1221,5.01732,1143.44,0.000289687,60000,153.878,839,43,0.901349,33.6848,19.38,901.38
2000,3,350,120,60000,0.1,1340.73,1221,5.01732,1143.44,0.000289687,60000,153.878,839,40,0.901349,34.1138,19.6268,898.627
2000,3,350,120,70000,0.15,1340.73,1221,5.01732,1318.07,0.00173812,70000,154.918,839,44,0.923336,38.482,22.14,905.14
2000,3,350,120,70000,0.12,1340.73,1221,5.01732,1318.07,0.000289687,70000,154.918,839,41,0.923336,38.2462,22.0043,902.004
2000,3,350,120,70000,0.1,1340.73,1221,5.01732,1318.07,0.000289687,70000,154.918,839,42,0.923336,38.4206,22.1047,903.105
2000,3,350,120,80000,0.15,1340.73,1221,5.01732,1490.66,0.00376593,80000,155.645,839,40,0.939702,43.6585,25.1182,904.118
2000,3,350,120,80000,0.12,1340.73,1221,5.01732,1490.66,0.00144844,80000,155.645,839,40,0.939702,43.416,24.9787,903.979
2000,3,350,120,80000,0.1,1340.73,1221,5.01732,1490.66,0.000579374,80000,155.645,839,40,0.939702,43.635,25.1047,904.105
2000,3,350,100,60000,0.15,1340.73,1221,5.01732,1267.71,0.00173812,60000,153.379,839,40,0.909962,33.3323,19.1772,898.177
